"District","Representative","Party","Party","Prior experience","Education","Assumed office","Born in"
"Michigan 4","Moolenaar, JohnJohn Moolenaar",NA,"Republican","Michigan Senate, Michigan House of Representatives","Hope CollegeHarvard University","2015",1961
"Michigan 5","Kildee, DanDan Kildee",NA,"Democratic","Genessee County Treasurer","Central Michigan University","2013",1958
"Michigan 6","Upton, FredFred Upton",NA,"Republican","U.S. government administrator","University of Michigan","1987",1953
"Michigan 7","Walberg, TimTim Walberg",NA,"Republican","U.S. House, Michigan House of Representatives","Taylor UniversityWheaton College","2011",1951
"Michigan 8","Bishop, MikeMike Bishop",NA,"Republican","Michigan Senate Majority Leader, Michigan House of Representatives","University of MichiganDetroit College of Law","2015",1967
"Michigan 9","Levin, SanderSander Levin",NA,"Democratic","Michigan Senate, U.S. Government administrator","University of ChicagoColumbia UniversityHarvard Law School","1983",1931
"Michigan 10","Mitchell, PaulPaul Mitchell",NA,"Republican","Businessman","Michigan State University","2017",1961
"Michigan 11","Trott, DavidDavid Trott",NA,"Republican","Lawyer","University of MichiganDuke University School of Law","2015",1960
"Michigan 12","Dingell, DebbieDebbie Dingell",NA,"Democratic","Lobbyist, Wife of John Dingell","Georgetown University","2015",1953
"Michigan 13","Conyers, JohnJohn Conyers",NA,"Democratic","Congressional aide","Wayne State University","1965",1929
"Michigan 14","Lawrence, BrendaBrenda Lawrence",NA,"Democratic","Mayor of Southfield","Central Michigan University","2015",1954
"Minnesota 1","Walz, TimTim Walz",NA,"Democratic","Army National Guard Command Sergeant Major, teacher","Chadron State College","2007",1964
"Minnesota 2","Lewis, JasonJason Lewis",NA,"Republican","Radio show host","University of Colorado at DenverUniversity of Northern Iowa","2017",1955
"Minnesota 3","Paulsen, ErikErik Paulsen",NA,"Republican","Majority Leader of the Minnesota House of Representatives","St. Olaf College","2009",1965
"Minnesota 4","McCollum, BettyBetty McCollum",NA,"Democratic","North St. Paul City Council, Minnesota House of Representatives","College of St. Catherine","2001",1954
"Minnesota 5","Ellison, KeithKeith Ellison",NA,"Democratic","Minnesota House of Representatives","Wayne State UniversityUniversity of Minnesota Law School","2007",1963
"Minnesota 6","Emmer, TomTom Emmer",NA,"Republican","Minnesota House of Representatives","University of Alaska FairbanksWilliam Mitchell College of Law","2015",1961
"Minnesota 7","Peterson, CollinCollin Peterson",NA,"Democratic","Certified Public Accountant, Minnesota Senate","Moorhead State University","1991",1944
"Minnesota 8","Nolan, RickRick Nolan",NA,"Democratic","Minnesota House of Representatives, U.S. House, businessman","St. John's UniversityUniversity of MinnesotaUniversity of MarylandSt. Cloud State University","2013",1943
"Mississippi 1","Kelly, TrentTrent Kelly",NA,"Republican","District attorney, Tupelo, city prosecutor, Army National Guard Colonel","University of MississippiU.S. Army War College","2015*",1966
"Mississippi 2","Thompson, BennieBennie Thompson",NA,"Democratic","alderman, mayor of Bolton, Hinds County Board of Supervisors","Tougaloo CollegeJackson State University","1993*",1948
"Mississippi 3","Harper, GreggGregg Harper",NA,"Republican","Attorney, Rankin County Party Chairman","Mississippi CollegeUniversity of Mississippi","2009",1956
"Mississippi 4","Palazzo, StevenSteven Palazzo",NA,"Republican","Mississippi House of Representatives","University of Southern Mississippi","2011",1970
"Missouri 1","Clay, WilliamWilliam Clay",NA,"Democratic","Missouri Senate, Missouri House of Representatives","University of MarylandHarvard University","2001",1956
"Missouri 2","Wagner, AnnAnn Wagner",NA,"Republican","U.S. Ambassador to Luxembourg","University of Missouri","2013",1962
"Missouri 3","Luetkemeyer, BlaineBlaine Luetkemeyer",NA,"Republican","Missouri House of Representatives, State Tourism Director","Lincoln University","2009",1952
"Missouri 4","Hartzler, VickyVicky Hartzler",NA,"Republican","Missouri House of Representatives","University of MissouriCentral Missouri State University","2011",1960
"Missouri 5","Cleaver, EmanuelEmanuel Cleaver",NA,"Democratic","Mayor of Kansas City, pastor, radio show host","Prairie View A&M UniversitySt. Paul School of Theology","2005",1944
"Missouri 6","Graves, SamSam Graves",NA,"Republican","Missouri Senate","University of Missouri","2001",1963
"Missouri 7","Long, BillyBilly Long",NA,"Republican","auctioneer","National Auctioneers Association Education Institute","2011",1955
"Missouri 8","Smith, Jason T.Jason T. Smith",NA,"Republican","Missouri House of Representatives","University of Missouri","2013*",1980
"Montana At Large","Gianforte, GregGreg Gianforte",NA,"Republican","business owner","Stevens Institute of Technology","2017*",1961
"Nebraska 1","Fortenberry, JeffJeff Fortenberry",NA,"Republican","Lincoln city council, businessman","Louisiana State UniversityGeorgetown UniversityFranciscan University of Steubenville","2005",1960
"Nebraska 2","Bacon, DonDon Bacon",NA,"Republican","U.S. Air Force Brigadier General","Northern Illinois University","2017",1963
"Nebraska 3","Smith, AdrianAdrian Smith",NA,"Republican","Gering City Council, Nebraska Legislature","University of Nebraska","2007",1970
"Nevada 1","Titus, DinaDina Titus",NA,"Democratic","U.S. House, Nevada Senate","College of William & MaryUniversity of GeorgiaFlorida State University","2013",1950
"Nevada 2","Amodei, MarkMark Amodei",NA,"Republican","Nevada Senate, Nevada Assembly","University of Nevada, RenoUniversity of the Pacific","2011*",1958
"Nevada 3","Rosen, JackyJacky Rosen",NA,"Democratic","software developer","University of Minnesota","2017",1957
"Nevada 4","Kihuen, RubenRuben Kihuen",NA,"Democratic","Nevada Assembly, Nevada Senate","University of Nevada, Las Vegas","2017",1980
"New Hampshire 1","Shea-Porter, CarolCarol Shea-Porter",NA,"Democratic","U.S. House","University of New Hampshire","2017",1952
"New Hampshire 2","McLane Kuster, AnnAnn McLane Kuster",NA,"Democratic","Attorney, lobbyist","Dartmouth CollegeGeorgetown University Law Center","2013",1956
"New Jersey 1","Norcross, DonaldDonald Norcross",NA,"Democratic","New Jersey Senate, New Jersey General Assembly","Camden County College","2014*",1958
"New Jersey 2","LoBiondo, FrankFrank LoBiondo",NA,"Republican","New Jersey General Assembly","St. Joseph's University","1995",1946
"New Jersey 3","MacArthur, TomTom MacArthur",NA,"Republican","Mayor of Randolph","Hofstra University","2015",1960
"New Jersey 4","Smith, ChrisChris Smith",NA,"Republican","Retail executive","Trenton State College","1981",1953
"New Jersey 5","Gottheimer, JoshJosh Gottheimer",NA,"Democratic","Lawyer, political aide","University of PennsylvaniaHarvard Law School","2017",1975
"New Jersey 6","Pallone, FrankFrank Pallone",NA,"Democratic","Long Branch city council, New Jersey Senate","Middlebury CollegeTufts UniversityRutgers University","1988*",1951
"New Jersey 7","Lance, LeonardLeonard Lance",NA,"Republican","New Jersey Senate, New Jersey General Assembly","Lehigh UniversityVanderbilt UniversityPrinceton University","2009",1952
"New Jersey 8","Sires, AlbioAlbio Sires",NA,"Democratic","Mayor of West New York, Speaker of the New Jersey General Assembly","Saint Peter's CollegeMiddlebury College","2006*",1951
"New Jersey 9","Pascrell, BillBill Pascrell",NA,"Democratic","New Jersey General Assembly, Mayor of Paterson","Fordham University","1997",1937
"New Jersey 10","Payne, Jr., DonaldDonald Payne, Jr.",NA,"Democratic","Newark Municipal Council, Essex County Freeholder","Kean University","2012*",1958
"New Jersey 11","Frelinghuysen, RodneyRodney Frelinghuysen",NA,"Republican","New Jersey General Assembly","Hobart College","1995",1946
"New Jersey 12","Watson Coleman, BonnieBonnie Watson Coleman",NA,"Democratic","New Jersey General Assembly Majority Leader","Thomas Edison State College","2015",1945
"New Mexico 1","Lujan Grisham, MichelleMichelle Lujan Grisham",NA,"Democratic","Bernalillo County Commissioner, New Mexico Secretary of Health, Director of New Mexico Agency on Aging","University of New MexicoUniversity of New Mexico School of Law","2013",1959
"New Mexico 2","Pearce, SteveSteve Pearce",NA,"Republican","U.S. House, New Mexico House of Representatives","New Mexico State UniversityEastern New Mexico University","2011",1947
"New Mexico 3","Luján, BenBen Luján",NA,"Democratic","New Mexico Public Regulation Commissioner","New Mexico Highlands University","2009",1972
"New York 1","Zeldin, LeeLee Zeldin",NA,"Republican","New York Senate","University at Albany, SUNYAlbany Law School","2015",1980
"New York 2","King, PeterPeter King",NA,"Republican","Hempstead Town Council, Nassau County Comptroller","St. Francis CollegeUniversity of Notre Dame","1993",1944
"New York 3","Suozzi, ThomasThomas Suozzi",NA,"Democratic","County Executive of Nassau County, Mayor of Glen Cove, New York","Boston CollegeFordham University School of Law","2017",1962
"New York 4","Rice, KathleenKathleen Rice",NA,"Democratic","Nassau County District Attorney","Catholic UniversityTouro Law Center","2015",1965
"New York 5","Meeks, GregoryGregory Meeks",NA,"Democratic","New York State Assembly","Adelphi UniversityHoward University","1998*",1953
"New York 6","Meng, GraceGrace Meng",NA,"Democratic","New York State Assembly","University of MichiganBenjamin N. Cardozo School of Law","2013",1975
"New York 7","Velázquez, NydiaNydia Velázquez",NA,"Democratic","Director, Dept. of Puerto Rican Community Affairs","University of Puerto RicoNew York University","1993",1953
"New York 8","Jeffries, HakeemHakeem Jeffries",NA,"Democratic","New York State Assembly","New York University School of LawGeorgetown UniversityBinghamton University","2013",1970
"New York 9","Clarke, YvetteYvette Clarke",NA,"Democratic","New York City Council","Oberlin College","2007",1964
"New York 10","Nadler, JerroldJerrold Nadler",NA,"Democratic","New York State Assembly","Columbia UniversityFordham University","1992*",1947
"New York 11","Donovan, DanielDaniel Donovan",NA,"Republican","Richmond County District Attorney","St. John's UniversityFordham University","2015*",1956
"New York 12","Maloney, CarolynCarolyn Maloney",NA,"Democratic","New York City Council","Greensboro College","1993",1946
"New York 13","Espaillat, AdrianoAdriano Espaillat",NA,"Democratic","New York State Senate, New York State Assembly","Queens College","2017",1954
"New York 14","Crowley, JosephJoseph Crowley",NA,"Democratic","New York State Assembly","Queens College","1999",1962
"New York 15","Serrano, JoséJosé Serrano",NA,"Democratic","New York State Assembly","Lehman College","1990*",1943
"New York 16","Engel, EliotEliot Engel",NA,"Democratic","high school teacher, New York State Assembly","Lehman CollegeNew York Law School","1989",1947
"New York 17","Lowey, NitaNita Lowey",NA,"Democratic","New York Assistant Secretary of State","Mount Holyoke College","1989",1937
"New York 18","Maloney, Sean PatrickSean Patrick Maloney",NA,"Democratic","Attorney","University of Virginia","2013",1966
"New York 19","Faso, JohnJohn Faso",NA,"Republican","New York State Assembly","State University of New York at BrockportGeorgetown University","2017",1952
"New York 20","Tonko, PaulPaul Tonko",NA,"Democratic","New York State Assembly","Clarkson University","2009",1949
"New York 21","Stefanik, EliseElise Stefanik",NA,"Republican","Civil servant, Political activist","Harvard University","2015",1984
"New York 22","Tenney, ClaudiaClaudia Tenney",NA,"Republican","New York State Assembly","Colgate UniversityUniversity of Cincinnati College of Law","2017",1961
"New York 23","Reed, TomTom Reed",NA,"Republican","Mayor of Corning","Alfred UniversityOhio Northern University, Pettit College of Law","2010*",1971
"New York 24","Katko, JohnJohn Katko",NA,"Republican","Attorney, Prosecutor U.S. Attorney's Office","Niagara UniversitySyracuse University College of Law","2015",1962
"New York 25","Slaughter, LouiseLouise Slaughter",NA,"Democratic","Monroe County Legislature, New York State Assembly","University of Kentucky","1987",1929
"New York 26","Higgins, BrianBrian Higgins",NA,"Democratic","Buffalo Common Council, New York State Assembly","University at BuffaloHarvard University","2005",1959
"New York 27","Collins, ChrisChris Collins",NA,"Republican","Erie County Executive","North Carolina State UniversityUniversity of Alabama at Birmingham","2013",1950
"North Carolina 1","Butterfield, G. K.G. K. Butterfield",NA,"Democratic","North Carolina Supreme Court Justice","North Carolina Central University","2004*",1947
"North Carolina 2","Holding, GeorgeGeorge Holding",NA,"Republican","U.S. Attorney for Eastern North Carolina","Wake Forest UniversityWake Forest University School of Law","2013",1968
"North Carolina 3","Jones, WalterWalter Jones",NA,"Republican","North Carolina House of Representatives","Atlantic Christian College","1995",1943
"North Carolina 4","Price, DavidDavid Price",NA,"Democratic","college professor","Mars Hill CollegeUniversity of North Carolina at Chapel HillYale University","1997",1940
"North Carolina 5","Foxx, VirginiaVirginia Foxx",NA,"Republican","North Carolina Senate","University of North Carolina at Chapel HillUniversity of North Carolina at Greensboro","2005",1943
"North Carolina 6","Walker, MarkMark Walker",NA,"Republican","Southern Baptist pastor","Piedmont International University","2015",1969
"North Carolina 7","Rouzer, DavidDavid Rouzer",NA,"Republican","North Carolina Senate","North Carolina State University","2015",1972
"North Carolina 8","Hudson, RichardRichard Hudson",NA,"Republican","Businessman","University of North Carolina at Charlotte","2013",1971
"North Carolina 9","Pittenger, RobertRobert Pittenger",NA,"Republican","North Carolina Senate","University of Texas","2013",1948
"North Carolina 10","McHenry, PatrickPatrick McHenry",NA,"Republican","North Carolina House of Representatives","North Carolina State UniversityBelmont Abbey College","2005",1975
"North Carolina 11","Meadows, MarkMark Meadows",NA,"Republican","Businessman","University of South Florida","2013",1959
"North Carolina 12","Adams, AlmaAlma Adams",NA,"Democratic","North Carolina House of Representatives","North Carolina A&T State UniversityOhio State University","2014*",1946
"North Carolina 13","Budd, TedTed Budd",NA,"Republican","Businessman","Wake Forest UniversityAppalachian State University","2017",1971
"North Dakota At Large","Cramer, KevinKevin Cramer",NA,"Republican","North Dakota Public Service Commissioner","Concordia CollegeUniversity of Mary","2013",1961
"Ohio 1","Chabot, SteveSteve Chabot",NA,"Republican","Cincinnati City Council, Hamilton County Commissioner, U.S. House","College of William & MaryNorthern Kentucky University","2011",1953
"Ohio 2","Wenstrup, BradBrad Wenstrup",NA,"Republican","Physician","University of Cincinnati","2013",1958
"Ohio 3","Beatty, JoyceJoyce Beatty",NA,"Democratic","Ohio House of Representatives","Central State UniversityWright State UniversityUniversity of Cincinnati","2013",1950
"Ohio 4","Jordan, JimJim Jordan",NA,"Republican","Ohio Senate, Ohio House of Representatives","University of Wisconsin–Madison","2007",1964
"Ohio 5","Latta, BobBob Latta",NA,"Republican","Wood County Commissioner, Ohio House of Representatives, Ohio Senate","Bowling Green State UniversityUniversity of Toledo","2007",1956
"Ohio 6","Johnson, BillBill Johnson",NA,"Republican","United States Air Force","Troy University","2011",1954
"Ohio 7","Gibbs, BobBob Gibbs",NA,"Republican","Ohio Senate, Ohio House of Representatives","Ohio State University Agricultural Technical Institute","2011",1954
"Ohio 8","Davidson, WarrenWarren Davidson",NA,"Republican","Businessman","United States Military AcademyUniversity of Notre Dame","2016*",1970
"Ohio 9","Kaptur, MarcyMarcy Kaptur",NA,"Democratic","Domestic Policy Advisor, Carter Adm.","University of WisconsinUniversity of MichiganMassachusetts Institute of Technology","1983",1946
"Ohio 10","Turner, MikeMike Turner",NA,"Republican","Mayor of Dayton","Ohio Northern UniversityCase Western Reserve UniversityUniversity of Dayton","2003",1960
"Ohio 11","Fudge, MarciaMarcia Fudge",NA,"Democratic","Mayor of Warrensville Heights","Ohio State UniversityCleveland-Marshall College of Law","2008*",1952
"Ohio 12","Tiberi, PatPat Tiberi",NA,"Republican","Ohio House of Representatives","Ohio State UniversityCapital University","2001",1962
"Ohio 13","Ryan, TimTim Ryan",NA,"Democratic","Ohio Senate","Bowling Green State UniversityUniversity of New Hampshire School of Law","2003",1973
"Ohio 14","Joyce, DavidDavid Joyce",NA,"Republican","Geauga County Prosecutor","University of Dayton","2013",1957
"Ohio 15","Stivers, SteveSteve Stivers",NA,"Republican","Ohio Senate","Ohio State University","2011",1965
"Ohio 16","Renacci, JimJim Renacci",NA,"Republican","businessman, Mayor of Wadsworth","Indiana University of Pennsylvania","2011",1958
"Oklahoma 1","Bridenstine, JimJim Bridenstine",NA,"Republican","Museum director","Rice UniversitySamuel Curtis Johnson Graduate School of Management","2013",1975
"Oklahoma 2","Mullin, MarkwayneMarkwayne Mullin",NA,"Republican","Businessman","Missouri Valley College","2013",1977
"Oklahoma 3","Lucas, FrankFrank Lucas",NA,"Republican","Oklahoma House of Representatives","Oklahoma State University","1994*",1960
"Oklahoma 4","Cole, TomTom Cole",NA,"Republican","Oklahoma Senate, Oklahoma Secretary of State, college professor","Grinnell CollegeYale UniversityUniversity of Oklahoma","2003",1949
"Oklahoma 5","Russell, SteveSteve Russell",NA,"Republican","Oklahoma Senate, U. S. Army Lieutenant Colonel","Ouachita Baptist University","2015",1963
"Oregon 1","Bonamici, SuzanneSuzanne Bonamici",NA,"Democratic","Oregon House of Representatives, Oregon State Senate","Lane Community CollegeUniversity of Oregon","2012*",1954
"Oregon 2","Walden, GregGreg Walden",NA,"Republican","Oregon House of Representatives, Oregon State Senate","University of Oregon","1999",1957
"Oregon 3","Blumenauer, EarlEarl Blumenauer",NA,"Democratic","Oregon House of Representatives, Multnomah County Commissioner, Portland City Commissioner","Lewis & Clark College","1996*",1948
"Oregon 4","DeFazio, PeterPeter DeFazio",NA,"Democratic","Lane County Commissioner","Tufts UniversityUniversity of OregonUniversity of Notre Dame","1987",1947
"Oregon 5","Schrader, KurtKurt Schrader",NA,"Democratic","Veterinarian, Oregon State Senate","Cornell UniversityUniversity of Illinois","2009",1951
"Pennsylvania 1","Brady, BobBob Brady",NA,"Democratic","Congressional aide; Pennsylvania Turnpike Commission","St. Thomas More High School","1998*",1945
"Pennsylvania 2","Evans, DwightDwight Evans",NA,"Democratic","Pennsylvania House of Representatives","La Salle University","2016*",1954
"Pennsylvania 3","Kelly, MikeMike Kelly",NA,"Republican","businessman","University of Notre Dame","2011",1948
"Pennsylvania 4","Perry, ScottScott Perry",NA,"Republican","Pennsylvania House of Representatives","Pennsylvania State University","2013",1962
"Pennsylvania 5","Thompson, GlennGlenn Thompson",NA,"Republican","Centre County Party Chairman","Penn State UniversityTemple University","2009",1959
"Pennsylvania 6","Costello, RyanRyan Costello",NA,"Republican","Chester County Board of Commissioners, Chester County Recorder of Deeds","Ursinus CollegeVillanova University School of Law","2015",1976
"Pennsylvania 7","Meehan, PatPat Meehan",NA,"Republican","Delaware County District Attorney, U.S. Attorney for the Eastern District of Pennsylvania","Bowdoin CollegeTemple Law School","2011",1955
"Pennsylvania 8","Fitzpatrick, BrianBrian Fitzpatrick",NA,"Republican","FBI operative","La Salle UniversityPennsylvania State UniversityDickinson School of Law","2017",1973
"Pennsylvania 9","Shuster, BillBill Shuster",NA,"Republican","Businessman","Dickinson CollegeAmerican University","2001*",1961
"Pennsylvania 10","Marino, TomTom Marino",NA,"Republican","Lycoming County District Attorney, U.S. Attorney for the Middle District of Pennsylvania","Lycoming CollegeDickinson School of Law","2011",1952
"Pennsylvania 11","Barletta, LouLou Barletta",NA,"Republican","Mayor of Hazleton","Luzerne County Community CollegeBloomsburg University of Pennsylvania","2011",1956
"Pennsylvania 12","Rothfus, KeithKeith Rothfus",NA,"Republican","Attorney","SUNY BuffaloUniversity of Notre Dame","2013",1962
"Pennsylvania 13","Boyle, Brendan F.Brendan F. Boyle",NA,"Democratic","Pennsylvania House of Representatives","University of Notre DameHarvard University","2015",1977
"Pennsylvania 14","Doyle, MichaelMichael Doyle",NA,"Democratic","State Senator Chief of Staff","Penn State University","1995",1953
"Pennsylvania 15","Dent, CharlieCharlie Dent",NA,"Republican","Pennsylvania State Senate, Pennsylvania House of Representatives","Penn State UniversityLehigh University","2005",1960
"Pennsylvania 16","Smucker, LloydLloyd Smucker",NA,"Republican","Pennsylvania Senate","Lebanon Valley College, Franklin & Marshall College","2017",1964
"Pennsylvania 17","Cartwright, MattMatt Cartwright",NA,"Democratic","Attorney","Hamilton CollegeUniversity of Pennsylvania Law School","2013",1961
"Pennsylvania 18","Murphy, Timothy F.Timothy F. Murphy",NA,"Republican","Pennsylvania State Senate","Wheeling Jesuit UniversityCleveland State UniversityUniversity of Pittsburgh","2003",1952
"Rhode Island 1","Cicilline, DavidDavid Cicilline",NA,"Democratic","Mayor of Providence, Rhode Island House of Representatives","Brown UniversityGeorgetown University Law Center","2011",1961
"Rhode Island 2","Langevin, JimJim Langevin",NA,"Democratic","Secretary of State of Rhode Island, Rhode Island House of Representatives","Rhode Island CollegeHarvard University","2001",1964
"South Carolina 1","Sanford, MarkMark Sanford",NA,"Republican","U.S. House (1995-2001), Governor of South Carolina","Furman UniversityUniversity of Virginia","2013*",1960
"South Carolina 2","Wilson, JoeJoe Wilson",NA,"Republican","South Carolina Senate","Washington and Lee UniversityUniversity of South Carolina School of Law","2001*",1947
"South Carolina 3","Duncan, JeffJeff Duncan",NA,"Republican","South Carolina House of Representatives","Clemson University","2011",1966
"South Carolina 4","Gowdy, TreyTrey Gowdy",NA,"Republican","7th Circuit Solicitor","Baylor UniversityUniversity of South Carolina School of Law","2011",1964
"South Carolina 5","Norman, RalphRalph Norman",NA,"Republican","Real estate developer, South Carolina House of Representatives","Presbyterian College","2017*",1953
"South Carolina 6","Clyburn, JimJim Clyburn",NA,"Democratic","Political aide, teacher","South Carolina State University","1993",1940
"South Carolina 7","Rice, TomTom Rice",NA,"Republican","Attorney, businessman, chairman of the Horry County Council","University of South Carolina","2013",1957
"South Dakota At Large","Noem, KristiKristi Noem",NA,"Republican","South Dakota House of Representatives","South Dakota State University","2011",1971
"Tennessee 1","Roe, PhilPhil Roe",NA,"Republican","OB/GYN, Mayor of Johnson City","Austin Peay State UniversityUniversity of Tennessee","2009",1945
"Tennessee 2","Duncan, JimmyJimmy Duncan",NA,"Republican","state court judge","University of TennesseeGeorge Washington University","1988*",1947
"Tennessee 3","Fleischmann, ChuckChuck Fleischmann",NA,"Republican","attorney","University of IllinoisUniversity of Tennessee College of Law","2011",1962
"Tennessee 4","DesJarlais, ScottScott DesJarlais",NA,"Republican","Physician","University of South DakotaUniversity of South Dakota School of Medicine","2011",1964
"Tennessee 5","Cooper, JimJim Cooper",NA,"Democratic","U.S. House, college professor","University of North CarolinaOriel CollegeHarvard Law School","2003",1954
"Tennessee 6","Black, DianeDiane Black",NA,"Republican","Tennessee House of Representatives, Tennessee Senate","Belmont University","2011",1951
"Tennessee 7","Blackburn, MarshaMarsha Blackburn",NA,"Republican","Tennessee Senate","Mississippi State University","2003",1952
"Tennessee 8","Kustoff, DavidDavid Kustoff",NA,"Republican","Attorney for the United States District Court for the Western District of Tennessee","University of Memphis","2017",1966
"Tennessee 9","Cohen, SteveSteve Cohen",NA,"Democratic","Tennessee Senate, Attorney","Vanderbilt UniversityUniversity of Memphis","2007",1949
"Texas 1","Gohmert, LouieLouie Gohmert",NA,"Republican","Texas appeals court judge","Texas A&M UniversityBaylor University","2005",1953
"Texas 2","Poe, TedTed Poe",NA,"Republican","Texas state district judge","Abilene Christian UniversityUniversity of Houston Law Center","2005",1948
"Texas 3","Johnson, SamSam Johnson",NA,"Republican","Texas House of Representatives, Colonel United States Air Force","Southern Methodist University","1991*",1930
"Texas 4","Ratcliffe, JohnJohn Ratcliffe",NA,"Republican","Mayor of Heath, U.S. Attorney for Eastern District of Texas","University of Notre DameDedman School of Law","2015",1965
"Texas 5","Hensarling, JebJeb Hensarling",NA,"Republican","energy executive","Texas A&M UniversityUniversity of Texas at Austin","2003",1957
"Texas 6","Barton, JoeJoe Barton",NA,"Republican","oil industry consultant","Texas A&M UniversityPurdue University","1985",1949
"Texas 7","Culberson, JohnJohn Culberson",NA,"Republican","Texas House of Representatives","Southern Methodist UniversitySouth Texas College of Law","2001",1956
"Texas 8","Brady, KevinKevin Brady",NA,"Republican","Texas House of Representatives","University of South Dakota","1997",1955
"Texas 9","Green, AlAl Green",NA,"Democratic","Harris County Justice of the Peace, Houston NAACP president","Florida A&M UniversityTuskeegee InstituteTexas Southern University","2005",1947
"Texas 10","McCaul, MichaelMichael McCaul",NA,"Republican","Attorney, federal prosecutor","Trinity UniversitySt. Mary's UniversityKennedy School of Government (attended)","2005",1962
"Texas 11","Conaway, MikeMike Conaway",NA,"Republican","oil exploration executive","Texas A&M University–Commerce","2005",1948
"Texas 12","Granger, KayKay Granger",NA,"Republican","Mayor of Fort Worth","Texas Wesleyan University","1999",1943
"Texas 13","Thornberry, MacMac Thornberry",NA,"Republican","Rancher, attorney","Texas Tech UniversityUniversity of Texas Law School","1995",1958
"Texas 14","Weber, RandyRandy Weber",NA,"Republican","Texas House of Representatives, Pearland City Council","University of Houston–Clear Lake","2013",1953
"Texas 15","González, VicenteVicente González",NA,"Democratic","food processing executive, Texas State Board of Education","University of Texas at AustinUniversity of Texas-Pan American","2017",1967
"Texas 16","O'Rourke, BetoBeto O'Rourke",NA,"Democratic","El Paso City Councilman","Columbia University","2013",1972
"Texas 17","Flores, BillBill Flores",NA,"Republican","businessman","Texas A&M UniversityHouston Baptist University","2011",1954
"Texas 18","Jackson Lee, SheilaSheila Jackson Lee",NA,"Democratic","Houston City Council, municipal judge","Yale UniversityUniversity of Virginia Law School","1995",1950
"Texas 19","Arrington, JodeyJodey Arrington",NA,"Republican","Educator, public administrator, White House aide","Texas Tech UniversityMcDonough School of Business","2017",1972
"Texas 20","Castro, JoaquínJoaquín Castro",NA,"Democratic","Texas House of Representatives","Stanford UniversityHarvard Law School","2013",1974
"Texas 21","Smith, Lamar S.Lamar S. Smith",NA,"Republican","Bexar County Commissioner, Texas House of Representatives","Yale UniversitySouthern Methodist University School of Law","1987",1947
"Texas 22","Olson, PetePete Olson",NA,"Republican","Congressional aide","Rice UniversityUniversity of Texas at Austin","2009",1962
"Texas 23","Hurd, WillWill Hurd",NA,"Republican","Corporate adviser, former CIA operative","Texas A&M University","2015",1977
"Texas 24","Marchant, KennyKenny Marchant",NA,"Republican","Mayor of Carrolton, Texas House of Representatives","Southern Nazarene University","2005",1951
"Texas 25","Williams, RogerRoger Williams",NA,"Republican","Secretary of State of Texas","Texas Christian University","2013",1949
"Texas 26","Burgess, MichaelMichael Burgess",NA,"Republican","Physician","University of North TexasUniversity of Texas Health Science Center at Houston","2003",1950
"Texas 27","Farenthold, BlakeBlake Farenthold",NA,"Republican","attorney","University of Texas at AustinSt. Mary's University School of Law","2011",1961
"Texas 28","Cuellar, HenryHenry Cuellar",NA,"Democratic","Texas House of Representatives, Texas Secretary of State","Edmund A. Walsh School of Foreign ServiceUniversity of Texas at Austin","2005",1955
"Texas 29","Green, GeneGene Green",NA,"Democratic","Texas House of Representatives, Texas Senate","University of Houston","1993",1947
"Texas 30","Johnson, EddieEddie Johnson",NA,"Democratic","Texas Senate, nurse","Saint Mary's College-IndianaTexas Christian UniversitySouthern Methodist University","1991",1935
"Texas 31","Carter, JohnJohn Carter",NA,"Republican","Texas state district judge","Texas Tech UniversityUniversity of Texas at Austin","2003",1941
"Texas 32","Sessions, PetePete Sessions",NA,"Republican","marketing executive","Southwestern University","1997",1955
"Texas 33","Veasey, MarcMarc Veasey",NA,"Democratic","Texas House of Representatives","Texas Wesleyan University","2013",1971
"Texas 34","Vela, Jr., FilemonFilemon Vela, Jr.",NA,"Democratic","Attorney","Georgetown UniversityUniversity of Texas School of Law","2013",1963
"Texas 35","Doggett, LloydLloyd Doggett",NA,"Democratic","Texas Senate, Texas Supreme Court justice, college professor","University of Texas at Austin","1995",1946
"Texas 36","Babin, BrianBrian Babin",NA,"Republican","Lower Neches Valley Authority, Texas Historical Commission, Mayor of Woodville","Lamar UniversityUniversity of Texas Dental School","2015",1948
"Utah 1","Bishop, RobRob Bishop",NA,"Republican","Speaker of the Utah House of Representatives, Chairman of the Utah Republican Party","University of Utah","2003",1951
"Utah 2","Stewart, ChrisChris Stewart",NA,"Republican","Author, businessman","Utah State University","2013",1960
"Utah 3","Chaffetz, JasonJason Chaffetz",NA,"Republican","Business relations executive","Brigham Young University","2009",1967
"Utah 4","Love, MiaMia Love",NA,"Republican","Mayor of Saratoga Springs","University of Hartford","2015",1975
"Vermont At Large","Welch, PeterPeter Welch",NA,"Democratic","Vermont Senate President Pro Tempore","College of the Holy CrossUniversity of California, Berkeley","2007",1947
"Virginia 1","Wittman, RobRob Wittman",NA,"Republican","Mayor of Montross, Westmoreland County Board of Supervisors, Virginia House of Delegates","Virginia TechUniversity of North CarolinaVirginia Commonwealth University","2007*",1959
"Virginia 2","Taylor, ScottScott Taylor",NA,"Republican","Virginia House of Delegates","Harvard University Extension School","2017",1979
